questions	question_or_statement
DESC:manner How did serfdom develop in and then leave Russia ?	1
ENTY:cremat What films featured the character Popeye Doyle ?	1
DESC:manner How can I find a list of celebrities ' real names ?	1
ENTY:animal What fowl grabs the spotlight after the Chinese Year of the Monkey ?	1
ABBR:exp What is the full form of .com ?	1
HUM:ind What contemptible scoundrel stole the cork from my lunch ?	1
HUM:gr What team did baseball 's St. Louis Browns become ?	1
HUM:title What is the oldest profession ?	1
DESC:def What are liver enzymes ?	1
HUM:ind Name the scar-faced bounty hunter of The Old West .	1
NUM:date When was Ozzy Osbourne born ?	1
DESC:reason Why do heavier objects travel downhill faster ?	1
HUM:ind Who was The Pride of the Yankees ?	1
HUM:ind Who killed Gandhi ?	1
ENTY:event What is considered the costliest disaster the insurance industry has ever faced ?	1
LOC:state What sprawling U.S. state boasts the most airports ?	1
DESC:desc What did the only repealed amendment to the U.S. Constitution deal with ?	1
NUM:count How many Jews were executed in concentration camps during WWII ?	1
DESC:def What is `` Nine Inch Nails '' ?	1
DESC:def What is an annotated bibliography ?	1
NUM:date What is the date of Boxing Day ?	1
ENTY:other What articles of clothing are tokens in Monopoly ?	1
HUM:ind Name 11 famous martyrs .	1
DESC:desc What 's the Olympic motto ?	1
DESC:desc What is the origin of the name ` Scarlett ' ?	1
ENTY:letter What 's the second-most-used vowel in English ?	1
HUM:ind Who was the inventor of silly putty ?	1
LOC:other What is the highest waterfall in the United States ?	1
ENTY:other Name a golf course in Myrtle Beach .	1
LOC:state Which two states enclose Chesapeake Bay ?	1
ABBR:exp What does the abbreviation AIDS stand for ?	1
ENTY:other What does a spermologer collect ?	1
NUM:count How many points make up a perfect fivepin bowling score ?	1
HUM:gr Which company that manufactures video-game hardware sells the `` super system '' ?	1
NUM:count How many Community Chest cards are there in Monopoly ?	1
DESC:desc What do Mormons believe ?	1
NUM:date When did the neanderthal man live ?	1
ENTY:religion In what religion was Isis the nature goddess ?	1
LOC:other Where do the adventures of `` The Swiss Family Robinson '' take place ?	1
ENTY:animal What relative of the racoon is sometimes known as the cat-bear ?	1
DESC:manner How can I register my website in Yahoo for free ?	1
ENTY:other What was cash-conscious Colonel Edwin L. Drake the first to drill ?	1
NUM:count How many people in the world speak French ?	1
NUM:count How many inches over six feet is the Venus de Milo ?	1
DESC:manner How do they find or choose witnesses to an execution ?	1
HUM:ind What 1920s cowboy star rode Tony the Wonder Horse ?	1
ENTY:food What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?	1
HUM:gr What ISPs exist in the Caribbean ?	1
DESC:manner How do you ask a total stranger out on a date ?	1
ENTY:other What weapon is the mythological character Apollo most proficient with ?	1
LOC:country What country do the Galapagos Islands belong to ?	1
DESC:def What is ethology ?	1
HUM:ind Who was the prophet of the Muslim people ?	1
DESC:desc Where did the term `` 86ed '' come from ?	1
HUM:ind Who is Snoopy 's arch-enemy ?	1
DESC:def What is the nature of learning ?	1
ENTY:color What 's the only color Johnny Cash wears on stage ?	1
ENTY:termeq What 's the term for a young fox ?	1
LOC:state What U.S. state lived under six flags ?	1
DESC:def What is the Kashmir issue ?	1
LOC:other Where is the Loop ?	1
DESC:def What does `` extended definition '' mean and how would one write a paper on it ?	1
LOC:country What country 's capital is Tirana ?	1
DESC:def What is titanium ?	1
HUM:ind Who do Herb and Tootsie live next door to ?	1
LOC:city Which city has the oldest relationship as a sisterðcity with Los Angeles ?	1
DESC:def What is a caldera ?	1
DESC:reason Why do people get calluses ?	1
LOC:other What are the names of the tourist attractions in Reims ?	1
DESC:reason What are Cushman and Wakefield known for ?	1
LOC:other What body of water does the Danube River flow into ?	1
HUM:ind Who is the founder of Scientology ?	1
ENTY:other What does the six-footed Musca domestica become when it enters a house ?	1
DESC:desc What is the history of skateboarding ?	1
HUM:ind Who starred in Singing in the Rain and The Singing Nun ?	1
DESC:manner How do I make fuel bricks from recycled newspaper ?	1
HUM:ind What 19th-century painter died in the Marquesas Islands ?	1
ENTY:body The corpus callosum is in what part of the body ?	1
DESC:manner How do I log on to home page at Headquarters U.S. European Command ?	1
LOC:country What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .	1
ENTY:other What is Nebraska 's most valuable resource ?	1
NUM:count How many species of the Great White shark are there ?	1
DESC:desc What is the origin of head lice ?	1
LOC:state What is the nickname for the state of Mississippi ?	1
ENTY:animal What was the first domesticated bird ?	1
NUM:count How many villi are found in the small intestine ?	1
LOC:country What country did King Wenceslas rule ?	1
ENTY:dismed What is a fear of shadows ?	1
HUM:ind Who were the five Marx brothers ?	1
NUM:date In which year was New Zealand excluded from the ANZUS alliance ?	1
NUM:date When did CNN begin broadcasting ?	1
DESC:reason What causes the body to shiver in cold temperatures ?	1
DESC:def What are bear and bull markets ?	1
